"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
0,86,48,42,57,0,0,0,0,0,54,90,85,61,47,0,0,0,0,0,81,81,43,58,83,0,0,0,0,0,77,45,54,80,40,0,0,0,0,0,43,41,70,40,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,0,73,86,65,0,0,0,0,0,73,85,66,40,62,0,0,0,0,0,64,68,76,57,60,0,0,0,0,0,67,65,90,67,48,0,0,0,0,0,42,56,69,57,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,73,0,59,66,0,0,0,0,0,42,53,63,67,79,0,0,0,0,0,80,70,82,67,88,0,0,0,0,0,55,54,63,79,65,0,0,0,0,0,78,72,54,41,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,89,54,0,53,0,0,0,0,0,66,90,73,41,49,0,0,0,0,0,63,63,40,50,51,0,0,0,0,0,51,84,79,48,72,0,0,0,0,0,79,56,59,48,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,42,58,51,0,7,0,0,0,0,56,53,61,89,75,0,0,0,0,0,77,50,47,61,54,0,0,0,0,0,42,84,89,47,46,0,0,0,0,0,90,66,54,71,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,4,0,45,88,78,64,0,0,0,0,0,62,84,47,43,57,0,0,0,0,0,73,80,77,66,64,0,0,0,0,0,40,40,85,55,67,0,0,0,0,0,41,81,63,75,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,70,0,71,77,54,0,0,0,0,0,81,40,53,75,54,0,0,0,0,0,75,64,57,66,72,0,0,0,0,0,44,46,45,69,75,0,0,0,0,0,60,42,83,54,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,67,85,0,80,59,0,0,0,0,0,44,50,76,84,78,0,0,0,0,0,86,89,43,61,71,0,0,0,0,0,76,78,84,89,89,0,0,0,0,0,76,51,78,74,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,80,76,44,0,69,0,0,0,0,0,78,51,42,82,44,0,0,0,0,0,71,51,70,69,69,0,0,0,0,0,78,59,90,54,53,0,0,0,0,0,65,46,44,53,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,40,63,46,63,0,0,0,0,0,0,55,40,73,52,88,0,0,0,0,0,64,59,85,87,59,0,0,0,0,0,77,52,50,65,61,0,0,0,0,0,76,90,53,75,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
