"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
0,74,74,0,0,0,0,56,48,40,0,0,0,0
48,0,74,0,0,0,0,70,42,84,0,0,0,0
85,42,0,2,0,0,0,83,49,67,0,0,0,0
0,0,5,0,65,53,49,0,0,0,85,57,73,54
0,0,0,88,0,47,49,0,0,0,67,86,48,76
0,0,0,53,87,0,64,0,0,0,69,89,49,74
0,0,0,51,81,47,0,0,0,0,64,56,76,50
70,71,73,0,0,0,0,0,59,61,0,0,0,0
56,48,70,0,0,0,0,74,0,55,0,0,0,0
70,71,70,0,0,0,0,65,41,0,5,0,0,0
0,0,0,72,65,59,65,0,0,4,0,83,85,48
0,0,0,84,82,45,48,0,0,0,67,0,41,81
0,0,0,70,60,63,71,0,0,0,68,69,0,46
0,0,0,45,59,78,76,0,0,0,83,61,57,0
