"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
0,40,0,0,0,0,0,73,0,0,0,0,0,0
88,0,6,0,0,0,0,67,3,0,0,0,0,0
0,8,0,46,65,66,0,0,0,4,72,61,84,0
0,0,49,0,89,75,0,0,0,0,81,47,67,0
0,0,75,75,0,76,0,0,0,0,63,75,44,0
0,0,57,64,86,0,7,0,0,0,69,43,43,0
0,0,0,0,0,3,0,0,0,0,0,0,0,74
76,64,0,0,0,0,0,0,5,0,0,0,0,0
0,2,0,0,0,0,0,7,0,42,0,0,0,0
0,0,3,0,0,0,0,0,79,0,6,0,0,0
0,0,88,76,42,70,0,0,0,7,0,61,73,0
0,0,86,85,80,84,0,0,0,0,82,0,89,0
0,0,63,59,64,44,0,0,0,0,54,57,0,8
0,0,0,0,0,0,59,0,0,0,0,0,3,0
