"bgu_id","true_cluster"
1,1
2,1
3,1
4,1
5,1
6,2
7,2
8,2
9,2
10,2
11,1
12,1
13,1
14,1
15,1
16,2
17,2
18,2
19,2
20,2
21,1
22,1
23,1
24,1
25,1
26,2
27,2
28,2
29,2
30,2
31,1
32,1
33,1
34,1
35,1
36,2
37,2
38,2
39,2
40,2
41,1
42,1
43,1
44,1
45,1
46,2
47,2
48,2
49,2
50,2
51,3
52,3
53,3
54,3
55,3
56,4
57,4
58,4
59,4
60,4
61,3
62,3
63,3
64,3
65,3
66,4
67,4
68,4
69,4
70,4
71,3
72,3
73,3
74,3
75,3
76,4
77,4
78,4
79,4
80,4
81,3
82,3
83,3
84,3
85,3
86,4
87,4
88,4
89,4
90,4
91,3
92,3
93,3
94,3
95,3
96,4
97,4
98,4
99,4
100,4
